05-27 15:40:29.441 15673 15695 I TestRunner: started: testAllScenarios(com.example.gemininano.LlmPromptTest)
05-27 15:40:29.452 30890 15700 E DocumentManagerRoleBehavior: There should be exactly one documenter; found 2: matches=[com.android.documentsui, com.android.car.frameworkpackagestubs]
05-27 15:40:29.453 15673 15695 D TEST_REPORT: Loading model...
05-27 15:40:29.500 15500 15501 I AidlLazyServiceRegistrar: Process has 0 (of 1 available) client(s) in use after notification artd has clients: 0
05-27 15:40:29.501 15500 15501 I AidlLazyServiceRegistrar: Trying to shut down the service. No clients in use for any service in process.
05-27 15:40:29.501 15500 15501 I AidlLazyServiceRegistrar: Unregistered all clients and exiting
05-27 15:40:29.634 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.635 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.642 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.644 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.645 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.651 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.653 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.654 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.660 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.662 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.663 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.669 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
